Period,State_1,Nobs_1,Price_Av_1,Price_Med_1,Price_Av_Pure_1,Price_Med_Pure_1,Price_OLS_1,Price_RLS_1,Price_exp_1,Price_ppgLOS_1,State_2,Nobs_2,Price_Av_2,Price_Med_2,Price_Av_Pure_2,Price_Med_Pure_2,Price_OLS_2,Price_RLS_2,Price_exp_2,Price_ppgLOS_2
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , AR , 25 , 1554.24 , 749 , 149.2293794456 , 75.93821145 , -120.673563363883 , -107.228282488916 , 2575.15524931849 , -120.673563363883 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , AR , 29 , 947.137931034483 , 833 , 225.865530108724 , 63.78636638 , 548.582069645619 , 542.352297640877 , 1945.83145555179 , 548.582069645619 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , AR , 26 , 1458.5 , 1058 , 199.767443969231 , 134.2968285 , 399.554582822429 , 351.559525818595 , 3435.78070291324 , 399.554582822429 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , AR , 37 , 1164.86486486486 , 1068 , 98.7503686376216 , 79.28355984 , 376.17321566772 , 326.90845599894 , 2152.37366086326 , 376.17321566772 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , AR , 37 , 1058.37837837838 , 738 , 114.019424077486 , 74.2483485 , 497.012680786516 , 320.225541164427 , 2019.57553162629 , 497.012680786516 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , AR , 26 , 1414.53846153846 , 667.5 , 129.694218816154 , 96.491517265 , 371.850813570012 , 325.380911880948 , 3477.42453054861 , 371.850813570012 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , AZ , 52 , 1411.13461538462 , 840.5 , 61.8416589017308 , 40.41594226 , 538.781028952705 , 429.760476360808 , 2211.95571523073 , 538.781028952705 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , AZ , 44 , 1342.18181818182 , 1001 , 127.456704434659 , 40.395823695 , 1065.6423670605 , 994.220359579687 , 1771.26233280803 , 1065.6423670605 , 
3 , AL , 103 , 1628.39805825243 , 1260 , 147.420791585592 , 69.56252308 , 395.690223782522 , 408.305096659014 , 2332.92518204514 , 395.690223782522 , AZ , 48 , 1950.08333333333 , 710 , 66.2068543698542 , 32.35522121 , 208.278175164121 , 261.376307925155 , 1715.87541390497 , 208.278175164121 , 
4 , AL , 135 , 1537.4962962963 , 1006 , 134.346749513911 , 78.3720926 , 440.017852945826 , 212.906241485832 , 2964.72433975508 , 440.017852945826 , AZ , 46 , 989.152173913043 , 679.5 , 141.36239208087 , 46.65824953 , 291.813058352834 , 265.280316921904 , 1672.89839943714 , 291.813058352834 , 
5 , AL , 87 , 1435.52873563218 , 1025 , 418.716847763816 , 76.5268358 , 499.235738498646 , 510.238131522865 , 2346.62637316495 , 499.235738498646 , AZ , 41 , 1305.39024390244 , 704 , 349.826716197098 , 41.39914139 , 173.147583635343 , 222.029120978412 , 1480.91743960768 , 173.147583635343 , 
6 , AL , 104 , 1540.02884615385 , 1081 , 272.109325897856 , 67.94796648 , 633.109141744071 , 482.233442428929 , 2221.78775603364 , 633.109141744071 , AZ , 50 , 1458.12 , 783.5 , 122.2216292529 , 46.03814574 , 283.515632953199 , 223.651302432203 , 1949.97057041131 , 283.515632953199 , 
1 , AL , 109 , 1418.17431192661 , 1070 , 113.589520331688 , 70.9225013 , 427.62182670158 , 430.063793367769 , 2214.80958972357 , 427.62182670158 , CA , 204 , 1646.73529411765 , 683.5 , 57.6894573291078 , 41.496972305 , 272.213915090399 , 223.889035751857 , 2002.97488461203 , 272.213915090399 , 
2 , AL , 124 , 1617.98387096774 , 1172.5 , 2654.29038232673 , 67.156466155 , 351.37115026343 , 367.834100651334 , 2493.91139319714 , 351.37115026343 , CA , 227 , 1425.1718061674 , 774 , 184.862685439617 , 44.58199584 , 539.337218626089 , 256.619276815754 , 1810.60686425185 , 539.337218626089 , 
