State,MethAcq,Drug,Nt Wt,Potency,NtWt*Potency,PricePerCocGram,Seize Year,Seize Month,Price,StudyMonth
AK,P,COCAINE HYDROCHLORIDE,28.3,53.948915,15.26754294,40.28153071,1997,1,615,25
AK,P,COCAINE HYDROCHLORIDE,59.7,77.22266576,46.10193146,56.20154987,1996,11,2591,23
AK,P,COCAINE HYDROCHLORIDE,83.7,71.3222096,59.69668943,68.47950931,2000,4,4088,64
AK,P,COCAINE HYDROCHLORIDE,191.6,1.103025533,2.113396922,3856.350843,1998,5,8150,41
AK,P,COCAINE HYDROCHLORIDE,7.1,14.22075847,1.009673851,523.9315639,1996,3,529,15
AK,P,COCAINE HYDROCHLORIDE,14.2,58.15070939,8.257400734,61.27836305,2001,12,506,84
AK,P,COCAINE HYDROCHLORIDE,135.7,88.45513872,120.0336232,15.37069323,1999,5,1845,53
AK,P,COCAINE HYDROCHLORIDE,6,89.32883599,5.359730159,70.52593858,2003,12,378,108
AK,P,COCAINE HYDROCHLORIDE,5.4,87.19497875,4.708528852,131.8883285,2000,7,621,67
AK,P,COCAINE HYDROCHLORIDE,54.5,91.7290104,49.99231067,44.26680765,2004,4,2213,112
AK,P,COCAINE HYDROCHLORIDE,10.4,81.3088979,8.456125381,9.34234019,2003,7,79,103
AK,P,COCAINE HYDROCHLORIDE,9.8,91.28286356,8.945720629,77.57899321,1995,12,694,12
AK,P,COCAINE HYDROCHLORIDE,13.9,96.9994843,13.48292832,41.68233983,2000,6,562,66
AK,P,COCAINE HYDROCHLORIDE,27.4,13.8724048,3.801038914,101.0250115,2003,11,384,107
AK,P,COCAINE HYDROCHLORIDE,27.2,89.81410942,24.42943776,33.03391621,1995,6,807,6
AK,P,COCAINE HYDROCHLORIDE,250.8,40.68853213,102.0468386,0.137191903,1998,5,14,41
AK,P,COCAINE HYDROCHLORIDE,138.1,20.72300292,28.61846703,144.1376995,1995,1,4125,1
AK,P,COCAINE HYDROCHLORIDE,28.1,0.393527524,0.110581234,11728.93401,2001,7,1297,79
AK,P,COCAINE HYDROCHLORIDE,55.2,51.84720769,28.61965865,75.82200846,2004,3,2170,111
AK,P,COCAINE HYDROCHLORIDE,27.1,60.87079635,16.49598581,66.68288956,2002,12,1100,96
AK,P,COCAINE HYDROCHLORIDE,27.6,22.17992687,6.121659817,191.9414072,1998,12,1175,48
AK,P,COCAINE HYDROCHLORIDE,27.7,27.31543387,7.566375183,162.2970009,2000,11,1228,71
AK,P,COCAINE HYDROCHLORIDE,493.6,31.03217647,153.1748231,109.5284438,2004,1,16777,109
AK,P,COCAINE HYDROCHLORIDE,78.1,81.1362248,63.36739157,59.68369387,2003,10,3782,106
