tau,nonZero,kappa
1,3127,1
2,3611,1
3,3884,1
4,4093,1
5,4201,1
6,4262,1
7,4386,1
8,4397,1
9,4618,1
10,4621,1
11,4624,1
12,4623,1
13,4712,1
14,4717,1
15,4673,1
16,4761,1
17,4717,1
18,4763,1
19,4858,1
20,4763,1
21,4809,1
22,4905,1
23,5004,1
24,5001,1
25,5003,1
26,5051,1
27,5052,1
28,5053,1
29,5053,1
30,5053,1
31,5054,1
32,5054,1
33,5054,1
34,5102,1
35,5054,1
36,5054,1
37,5054,1
38,4259,1
39,3927,1
40,3927,1
41,3927,1
42,3927,1
43,3927,1
44,3927,1
45,3927,1
46,3927,1
47,3927,1
48,3927,1
49,3927,1
50,3927,1
51,3927,1
52,3927,1
53,3927,1
54,3927,1
55,3927,1
56,3927,1
57,3978,1
58,3978,1
59,3978,1
60,3978,1
1,2892,5
2,3196,5
3,3588,5
4,3811,5
5,3956,5
6,4116,5
7,4200,5
8,4217,5
9,4219,5
10,4347,5
11,4346,5
12,4392,5
13,4346,5
14,4440,5
15,4486,5
16,4438,5
17,4388,5
18,4486,5
19,4480,5
20,4483,5
21,4578,5
22,4525,5
23,4428,5
24,4246,5
25,3502,5
26,1786,5
27,0,5
28,0,5
29,0,5
30,0,5
31,0,5
32,0,5
33,0,5
34,0,5
35,0,5
36,0,5
37,0,5
38,0,5
39,0,5
40,0,5
41,0,5
42,0,5
43,0,5
44,0,5
45,0,5
46,0,5
47,0,5
48,0,5
49,0,5
50,0,5
51,0,5
52,0,5
53,0,5
54,0,5
55,0,5
56,0,5
57,0,5
58,0,5
59,0,5
60,0,5
1,2732,10
2,3070,10
3,3291,10
4,3464,10
5,3616,10
6,3867,10
7,3909,10
8,3980,10
9,4034,10
10,4074,10
11,3983,10
12,3934,10
13,1786,10
14,0,10
15,0,10
16,0,10
17,0,10
18,0,10
19,0,10
20,0,10
21,0,10
22,0,10
23,0,10
24,0,10
25,0,10
26,0,10
27,0,10
28,0,10
29,0,10
30,0,10
31,0,10
32,0,10
33,0,10
34,0,10
35,0,10
36,0,10
37,0,10
38,0,10
39,0,10
40,0,10
41,0,10
42,0,10
43,0,10
44,0,10
45,0,10
46,0,10
47,0,10
48,0,10
49,0,10
50,0,10
51,0,10
52,0,10
53,0,10
54,0,10
55,0,10
56,0,10
57,0,10
58,0,10
59,0,10
60,0,10
