Row Labels,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132
AK,1,,,,,1,,,,,,1,,,1,,,,,1,,,3,,1,,,,,,1,,2,,,,,,,,2,,,,,,3,1,,,1,,1,,,,,,,,,,,1,,2,1,,,,1,,1,,,1,,,2,,,,,1,,,,1,,,,,1,,,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,
AL,10,9,6,8,7,8,7,10,8,10,8,5,9,5,2,4,11,9,5,8,3,6,12,7,11,6,8,10,7,4,5,7,7,8,7,5,9,6,7,8,6,12,2,8,8,12,6,6,7,7,5,7,7,11,13,3,6,9,5,8,4,5,9,10,7,6,6,5,3,10,8,8,6,7,9,4,10,7,11,11,11,4,12,9,14,5,4,3,10,2,8,7,4,7,3,8,3,4,9,4,9,2,5,6,9,7,12,6,9,4,7,4,6,5,11,4,11,6,4,6,3,8,8,15,6,4,7,7,11,7,6,7
AR,1,1,4,4,2,1,4,1,4,1,1,2,3,2,1,2,2,2,3,2,1,5,1,,2,3,3,,4,2,1,5,3,1,,3,2,2,1,3,2,4,3,1,2,,2,5,2,2,4,,2,,2,,2,1,,5,4,2,2,3,3,2,,4,3,8,4,3,1,4,1,2,5,,5,3,5,1,3,1,3,4,2,4,3,2,3,4,1,4,,,5,2,4,4,2,4,1,3,2,3,2,2,2,,3,2,,3,3,3,1,1,2,3,1,3,2,2,,,2,,,2,3,1
AZ,5,2,6,7,4,6,8,1,2,,4,2,3,2,3,4,3,5,6,2,6,5,2,5,5,3,6,1,3,3,3,1,4,2,2,5,4,2,2,3,5,,7,1,3,4,3,5,3,4,3,4,2,5,5,4,2,3,4,4,2,4,4,8,4,4,4,4,2,9,2,2,3,5,2,1,1,4,1,4,2,6,3,3,5,4,6,5,6,2,,2,4,2,3,4,,4,2,1,2,6,2,4,2,,4,7,2,1,,1,7,4,3,1,2,7,5,1,5,2,3,3,7,4,5,1,1,2,3,2
CA,23,21,25,18,20,20,21,17,12,15,9,17,13,16,19,14,8,10,7,15,15,24,22,16,20,17,18,17,17,11,21,13,21,9,26,18,13,19,17,15,14,14,12,15,18,16,14,13,20,16,17,11,17,21,16,18,11,16,20,19,15,20,16,19,26,19,14,16,11,17,11,12,17,12,14,14,18,23,13,22,13,16,14,12,19,15,18,19,14,11,10,21,22,20,15,16,9,18,11,8,16,13,21,11,17,24,14,14,18,15,12,13,10,10,20,15,23,14,17,10,19,12,16,10,15,8,21,10,21,19,12,23
CO,4,5,5,6,6,2,7,4,7,5,10,7,1,6,7,2,7,4,5,10,7,4,4,3,5,4,6,3,3,3,3,2,6,1,5,3,4,3,7,7,7,4,5,5,5,5,1,3,2,3,5,1,6,4,5,4,5,5,7,5,4,5,3,2,5,,5,3,4,4,4,5,3,3,7,6,4,5,7,2,4,2,6,2,4,2,2,8,4,1,5,6,2,5,4,2,4,7,3,10,6,2,6,9,5,10,5,2,5,5,2,7,2,6,3,1,7,4,5,5,1,7,3,7,7,1,3,8,8,7,5,2
CT,6,8,6,5,8,6,5,4,3,5,6,10,8,5,4,12,8,3,9,6,5,7,4,6,9,4,6,8,4,7,4,5,10,4,8,11,11,4,9,5,8,6,5,9,5,8,5,6,8,6,5,4,11,13,5,6,7,8,6,6,10,7,6,7,6,5,12,4,11,9,2,5,3,9,9,6,8,10,4,7,9,11,8,8,5,11,6,7,4,3,7,6,8,8,9,5,6,7,6,6,4,7,6,6,4,3,3,9,8,5,7,8,7,9,6,6,8,6,4,5,5,2,6,4,5,7,7,9,2,4,6,
DC,3,4,9,5,5,6,7,5,6,3,4,8,2,4,4,4,7,1,4,3,5,4,5,3,3,1,1,5,5,3,2,7,4,8,6,1,,5,4,4,3,1,2,5,2,7,2,2,6,2,4,3,7,7,2,4,6,3,3,5,1,1,5,5,2,5,2,8,5,6,2,3,5,6,1,2,5,3,9,2,7,7,1,5,4,5,2,6,5,1,2,3,3,7,4,2,3,1,4,5,4,4,4,7,1,9,5,3,3,5,4,6,5,6,6,2,3,3,3,3,3,2,2,2,4,2,3,2,4,4,5,5
DE,3,,3,2,1,4,3,2,1,2,1,3,1,3,1,1,,2,3,1,5,4,2,2,2,2,1,1,2,2,2,2,3,2,1,2,3,4,2,1,4,2,,2,2,,2,2,4,3,1,3,2,3,2,2,2,5,2,2,1,1,3,3,1,3,2,,2,4,2,1,2,4,1,,3,2,,1,,2,3,1,2,1,3,,2,2,1,2,1,2,4,,2,4,1,2,,1,,1,1,1,3,2,2,7,4,4,1,1,1,1,,2,2,1,2,3,4,2,1,,2,1,3,4,1,
FL,32,29,23,29,41,41,30,27,33,38,39,29,19,35,42,33,35,32,25,26,30,24,35,35,26,27,27,34,32,27,24,32,34,26,42,29,25,39,24,35,32,37,37,36,45,27,27,27,33,28,33,30,26,28,31,22,29,42,37,40,37,36,38,35,24,31,35,40,29,34,41,29,36,43,27,28,32,24,30,22,31,35,39,29,41,36,30,36,28,29,39,29,25,33,21,28,29,35,34,29,39,39,33,25,24,27,26,29,27,27,31,39,35,24,30,32,35,27,31,32,31,31,28,34,22,26,27,25,23,18,30,31
GA,19,20,15,20,14,16,8,16,10,16,15,16,23,15,15,8,15,14,16,12,14,6,16,12,13,17,28,14,7,14,14,15,15,15,17,12,20,9,21,15,13,10,17,15,15,13,10,18,15,17,17,16,12,18,11,21,16,11,11,14,16,17,15,21,18,13,18,10,15,18,13,16,19,22,15,19,16,20,17,18,21,13,14,11,16,17,15,19,21,15,14,20,19,18,12,8,15,7,22,11,16,13,20,16,10,13,13,17,20,15,17,12,10,20,12,19,14,19,16,20,14,13,17,19,11,15,14,22,12,17,16,8
HI,1,,1,,2,,1,,,1,,1,2,2,,,,1,,1,1,1,,,1,1,,,,,1,,,2,,,,1,1,3,,,,,,1,,,,1,,,2,,,1,1,1,,3,,,,,1,2,2,,,1,1,1,,,1,,,,1,,,1,,2,,,,,,1,1,1,,,1,2,1,1,1,3,,1,2,,,,,4,1,,,3,,,2,1,,,,1,1,,2,4,4,1,1,2,,,,
IA,2,,1,2,3,2,4,,,3,2,1,2,2,1,4,4,3,2,,,1,1,1,1,2,3,1,2,1,2,,,5,,,3,1,1,5,,,2,4,1,1,1,2,1,2,1,1,4,2,1,1,2,,,1,1,,1,2,2,2,,,1,3,5,,2,2,2,1,5,1,2,1,4,1,1,1,1,2,1,1,1,2,1,2,2,5,2,,5,1,1,1,1,7,1,2,1,2,3,1,1,2,,1,3,1,3,1,,2,1,4,4,2,1,,1,1,1,2,2,2,1,
ID,,2,1,,,1,1,1,1,,,,2,,,1,1,,,1,1,1,,1,1,1,1,3,,,,,,,,,1,,1,,,,1,,,,1,,2,,,,,1,1,,,1,,2,,1,1,2,1,,1,,,,1,3,1,,1,,1,,,,,1,2,,1,,,1,2,,,,,,,,2,,,,1,1,1,,,1,2,,,1,,1,2,,,,,,1,,,,2,,1,,,,1,1,1,1
IL,16,8,10,14,16,17,12,16,15,15,16,9,13,11,7,10,13,14,11,11,10,12,11,9,9,17,16,13,14,13,11,19,16,15,14,8,17,9,15,11,16,6,15,10,20,14,16,12,11,9,16,9,20,9,13,10,9,10,9,12,9,12,15,17,12,14,15,12,14,13,12,13,14,18,16,10,18,10,16,18,21,8,8,9,16,13,15,13,14,14,9,14,8,10,10,10,9,14,14,17,9,12,14,14,4,9,8,18,12,13,11,10,11,17,9,15,9,16,13,10,8,8,10,17,9,8,3,9,10,13,9,14
IN,4,6,7,5,6,5,6,4,5,6,4,7,5,4,2,11,6,6,8,4,7,3,7,5,3,6,6,3,6,8,4,4,4,7,10,7,4,7,5,4,5,4,5,4,5,2,6,8,5,1,4,4,6,7,4,9,3,2,7,3,5,4,3,5,5,3,6,7,4,3,3,5,4,8,1,6,6,6,3,6,6,6,7,9,2,5,6,5,8,8,3,5,9,7,5,5,7,5,2,7,2,3,10,6,11,2,3,5,3,6,12,4,6,7,3,5,4,3,5,5,3,4,6,6,8,1,4,11,4,5,5,8
KS,2,2,1,1,2,1,3,1,,2,3,2,3,1,,3,3,4,1,3,1,3,2,3,2,3,2,4,4,1,4,3,2,2,5,4,3,1,2,,1,1,1,3,2,3,2,3,,2,3,1,3,3,2,2,3,3,2,7,4,,3,1,4,4,3,1,2,3,6,,1,2,1,6,3,9,1,3,2,,6,2,1,2,3,3,4,4,2,3,,4,2,2,4,3,1,1,4,1,2,4,1,3,3,2,1,2,2,1,5,4,2,5,1,4,1,2,3,,4,3,6,3,1,,3,2,5,4
KY,4,2,2,2,1,2,3,4,7,7,4,4,1,6,4,5,7,2,2,3,2,1,2,1,5,3,5,2,7,3,2,,4,2,3,2,5,1,2,4,4,2,1,2,5,1,5,2,6,1,3,2,3,3,,3,2,,4,6,2,2,5,1,4,,1,4,1,5,3,2,4,3,3,3,1,3,3,1,3,4,4,4,4,5,2,5,1,6,2,3,2,3,2,2,4,4,4,2,4,2,6,4,2,6,2,3,,4,3,1,3,3,1,1,5,1,6,4,1,1,3,1,2,1,1,1,3,2,3,4
LA,14,19,16,12,14,14,11,21,15,10,16,13,13,9,13,20,14,15,14,15,10,13,15,17,7,10,14,13,8,9,6,14,15,14,16,10,19,16,12,16,9,13,10,10,16,11,11,13,14,24,9,13,10,7,12,15,9,13,11,10,20,11,7,16,6,10,14,13,8,14,12,10,10,10,9,8,10,14,16,7,11,12,14,15,10,16,11,15,11,15,17,13,12,15,10,13,14,10,18,15,11,14,9,14,7,12,7,13,11,9,14,5,11,10,13,11,11,16,5,5,13,14,12,11,19,13,13,18,8,16,7,14
MA,13,20,17,12,20,10,15,12,12,16,17,19,17,18,12,12,17,14,18,13,13,16,24,13,18,15,18,15,7,21,16,21,17,16,18,20,9,18,11,14,15,11,19,13,17,6,17,14,10,22,10,16,15,17,12,18,10,14,16,15,11,19,20,13,18,16,12,11,13,26,15,15,15,11,14,10,15,14,8,10,21,10,16,15,20,8,12,14,11,18,22,9,16,18,22,16,19,16,17,16,13,20,16,20,16,20,15,12,8,19,12,16,14,11,17,23,12,16,23,18,12,11,26,13,24,11,22,13,16,25,12,8
MD,7,6,4,6,7,7,9,10,11,5,7,11,8,13,11,10,9,10,7,8,9,10,14,11,5,10,6,8,7,9,14,13,8,12,6,13,10,16,14,15,14,9,7,6,10,11,7,10,6,5,12,5,11,9,8,13,8,9,11,10,3,9,7,7,4,11,10,13,4,12,13,13,16,4,9,6,14,8,7,11,9,11,4,6,11,7,14,11,9,8,6,6,9,8,9,8,9,5,13,6,8,10,12,7,13,8,6,15,10,6,4,13,5,9,6,14,12,7,8,9,9,7,8,10,7,12,9,6,10,12,10,6
ME,1,3,2,2,2,,3,,3,2,3,,1,,1,1,3,3,,2,1,1,1,2,3,5,1,1,2,3,5,2,3,2,1,3,,1,1,2,2,2,2,3,3,2,3,2,2,2,1,3,3,1,,,1,1,6,,1,3,1,3,1,3,2,1,1,3,,1,3,2,1,2,2,1,3,3,1,,1,2,2,2,4,3,1,3,1,2,1,2,3,,2,1,1,1,1,2,2,5,2,4,2,1,1,4,1,3,2,2,5,1,1,1,1,3,1,1,2,,2,2,2,2,1,,5,1
MI,6,6,11,7,8,11,7,6,5,12,5,10,8,7,10,8,5,8,14,13,8,3,9,8,6,12,9,4,5,7,11,6,5,7,4,9,8,8,13,5,10,8,4,5,6,8,10,6,10,8,14,6,9,10,8,12,7,8,8,8,4,9,9,10,5,13,8,10,11,11,5,17,7,9,9,12,5,12,6,12,1,7,4,12,11,6,8,11,8,11,9,10,6,11,8,11,11,11,8,7,5,11,10,10,10,10,7,9,3,5,8,7,3,13,9,11,10,9,11,10,3,8,10,6,10,6,6,6,14,10,6,13
MN,,1,2,5,1,4,,4,3,,,2,1,2,1,,2,,5,1,3,6,1,2,3,5,2,1,3,1,2,7,2,3,4,4,1,9,6,2,2,3,3,1,4,,,2,3,2,3,3,3,3,1,2,5,5,3,2,4,2,1,3,1,,5,,4,4,4,4,4,6,4,4,1,3,1,3,3,2,3,2,1,1,3,2,4,3,2,,2,4,1,,1,,2,,3,3,2,4,4,2,3,2,3,2,2,1,4,3,4,2,3,2,4,3,3,1,1,3,3,,3,4,4,2,3,3
MO,12,4,9,3,11,5,7,7,11,8,10,7,12,4,7,6,10,12,10,6,5,14,9,12,14,10,9,11,8,12,10,6,4,8,8,6,16,4,8,10,9,13,13,7,12,6,2,2,5,8,7,5,4,8,11,8,7,3,5,7,9,4,8,9,9,6,6,7,9,6,16,6,17,11,6,10,8,9,7,9,9,5,10,8,10,5,6,8,9,10,10,7,10,6,9,8,9,5,8,9,8,9,7,12,4,6,14,10,4,11,7,10,10,11,4,5,7,11,7,7,5,11,9,9,8,9,7,8,8,10,6,9
MS,7,2,3,6,7,3,8,1,2,11,3,6,2,4,9,4,5,4,6,5,4,4,8,3,5,4,3,5,4,2,4,6,2,1,3,4,6,5,3,3,3,9,2,4,3,8,6,4,6,4,8,8,3,8,6,6,8,6,3,3,6,5,7,2,4,6,2,1,4,7,6,4,4,8,5,6,5,5,5,4,4,3,1,1,6,5,3,2,6,5,1,5,1,5,5,3,5,3,5,2,9,3,4,2,1,7,3,6,5,5,6,3,7,3,4,5,5,6,3,1,5,3,6,4,7,5,7,3,1,2,4,3
MT,,1,,1,3,1,1,,,,,,,1,,1,2,1,1,,1,2,1,1,,,1,,2,,,,1,,,,,,1,,,,1,1,1,1,,2,1,1,,,2,,2,1,1,,1,,,3,1,2,1,2,1,1,,2,,1,,,,,,1,1,2,,2,1,,,,,,3,,,,,1,,1,,,,3,,,,2,,,,,,1,1,,,2,,1,1,,3,1,1,,1,1,,2,,4,1,2,,
NB,,2,,,1,,,1,,,,,,,1,,1,1,1,1,1,,1,,1,,1,,,,,,,,,,,1,2,,,,1,2,1,1,,,,1,,,1,,1,,,1,1,,1,1,,2,,,1,,,1,1,,,2,1,,,1,1,1,,,1,,,,3,,,,1,1,2,,2,2,,,,,,1,1,2,2,,3,1,2,,1,,1,,,1,,5,,1,1,,1,,,1,,3,1,1,1,
NC,1,2,1,2,,2,3,4,2,5,3,4,4,2,2,,4,,1,3,3,3,1,3,1,,3,4,1,3,5,2,8,4,,,4,2,1,1,,2,1,3,,3,6,2,2,,2,1,3,2,2,3,1,2,3,5,1,5,2,5,2,4,2,4,5,2,4,2,6,4,3,1,6,5,4,1,1,2,2,2,,2,3,6,1,3,1,2,,2,3,2,3,2,2,1,3,2,5,1,3,2,6,5,3,5,5,4,1,3,4,5,3,3,3,7,1,3,2,2,6,2,1,,3,4,4,2
